chart_id,seed,control_hard,treatment_hard,attributable_introduced,unattributable,serialization_unattributable,provenance_validation_failures
E73B098AA0CB6FA3BECE45E9551EF225412F5E01F6398184093A40B944F0AAE0,6,0,0,0,0,0,0
E73B098AA0CB6FA3BECE45E9551EF225412F5E01F6398184093A40B944F0AAE0,7,0,0,0,0,0,0
E73B098AA0CB6FA3BECE45E9551EF225412F5E01F6398184093A40B944F0AAE0,8,0,0,0,0,0,0
E73B098AA0CB6FA3BECE45E9551EF225412F5E01F6398184093A40B944F0AAE0,9,0,0,0,0,0,0
E73B098AA0CB6FA3BECE45E9551EF225412F5E01F6398184093A40B944F0AAE0,10,0,0,0,0,0,0
E73B098AA0CB6FA3BECE45E9551EF225412F5E01F6398184093A40B944F0AAE0,11,0,0,0,0,0,0
E73B098AA0CB6FA3BECE45E9551EF225412F5E01F6398184093A40B944F0AAE0,12,0,0,0,0,0,0
E73B098AA0CB6FA3BECE45E9551EF225412F5E01F6398184093A40B944F0AAE0,13,0,0,0,0,0,0
E73B098AA0CB6FA3BECE45E9551EF225412F5E01F6398184093A40B944F0AAE0,14,0,0,0,0,0,0
E73B098AA0CB6FA3BECE45E9551EF225412F5E01F6398184093A40B944F0AAE0,15,0,0,0,0,0,0
E73B098AA0CB6FA3BECE45E9551EF225412F5E01F6398184093A40B944F0AAE0,16,0,0,0,0,0,0
E73B098AA0CB6FA3BECE45E9551EF225412F5E01F6398184093A40B944F0AAE0,17,0,0,0,0,0,0
E73B098AA0CB6FA3BECE45E9551EF225412F5E01F6398184093A40B944F0AAE0,18,0,0,0,0,0,0
E73B098AA0CB6FA3BECE45E9551EF225412F5E01F6398184093A40B944F0AAE0,19,0,0,0,0,0,0
E73B098AA0CB6FA3BECE45E9551EF225412F5E01F6398184093A40B944F0AAE0,20,0,0,0,0,0,0
F0E7AD21B536EC13F9EE2F8C09913100A35BA2DFE1338C86F78452AA4391BE7E,1,0,0,0,0,0,0
F0E7AD21B536EC13F9EE2F8C09913100A35BA2DFE1338C86F78452AA4391BE7E,2,0,0,0,0,0,0
F0E7AD21B536EC13F9EE2F8C09913100A35BA2DFE1338C86F78452AA4391BE7E,3,0,0,0,0,0,0
F0E7AD21B536EC13F9EE2F8C09913100A35BA2DFE1338C86F78452AA4391BE7E,4,0,0,0,0,0,0
F0E7AD21B536EC13F9EE2F8C09913100A35BA2DFE1338C86F78452AA4391BE7E,5,0,0,0,0,0,0
F0E7AD21B536EC13F9EE2F8C09913100A35BA2DFE1338C86F78452AA4391BE7E,6,0,0,0,0,0,0
F0E7AD21B536EC13F9EE2F8C09913100A35BA2DFE1338C86F78452AA4391BE7E,7,0,0,0,0,0,0
F0E7AD21B536EC13F9EE2F8C09913100A35BA2DFE1338C86F78452AA4391BE7E,8,0,0,0,0,0,0
F0E7AD21B536EC13F9EE2F8C09913100A35BA2DFE1338C86F78452AA4391BE7E,9,0,0,0,0,0,0
F0E7AD21B536EC13F9EE2F8C09913100A35BA2DFE1338C86F78452AA4391BE7E,10,0,0,0,0,0,0
F0E7AD21B536EC13F9EE2F8C09913100A35BA2DFE1338C86F78452AA4391BE7E,11,0,0,0,0,0,0
F0E7AD21B536EC13F9EE2F8C09913100A35BA2DFE1338C86F78452AA4391BE7E,12,0,0,0,0,0,0
F0E7AD21B536EC13F9EE2F8C09913100A35BA2DFE1338C86F78452AA4391BE7E,13,0,0,0,0,0,0
F0E7AD21B536EC13F9EE2F8C09913100A35BA2DFE1338C86F78452AA4391BE7E,14,0,0,0,0,0,0
F0E7AD21B536EC13F9EE2F8C09913100A35BA2DFE1338C86F78452AA4391BE7E,15,0,0,0,0,0,0
F0E7AD21B536EC13F9EE2F8C09913100A35BA2DFE1338C86F78452AA4391BE7E,16,0,0,0,0,0,0
F0E7AD21B536EC13F9EE2F8C09913100A35BA2DFE1338C86F78452AA4391BE7E,17,0,0,0,0,0,0
F0E7AD21B536EC13F9EE2F8C09913100A35BA2DFE1338C86F78452AA4391BE7E,18,0,0,0,0,0,0
F0E7AD21B536EC13F9EE2F8C09913100A35BA2DFE1338C86F78452AA4391BE7E,19,0,0,0,0,0,0
F0E7AD21B536EC13F9EE2F8C09913100A35BA2DFE1338C86F78452AA4391BE7E,20,0,0,0,0,0,0
